"","EMY.chisq","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","CHEBI"
"CHEBI:16113",0.665,0.415,1,0.411,0.681,-0.216,0.829,"cholesterol"
"CHEBI:57990",0.663,0.415,1,-1.65,0.0985,0.214,0.831,"2-keto-3-deoxy-gluconate"
"CHEBI:28865",0.658,0.417,1,-0.209,0.834,0.917,0.359,"taurocholate"
"SERPINF2",0.658,0.417,1,-2.51,0.0122,0.209,0.835,NA
"VEGFA",0.652,0.419,1,-0.204,0.839,2.37,0.0177,NA
"KLK13",0.649,0.42,1,-0.201,0.841,0.609,0.543,NA
"CHEBI:4676",0.648,0.421,1,1.28,0.202,-0.2,0.842,"dodecanedioate"
"SAA1",0.645,0.422,1,-0.317,0.752,0.197,0.844,NA
"CHEBI:28792",0.644,0.422,1,0.196,0.844,-0.71,0.478,"erucate (22:1n9)"
"CCL17",0.644,0.422,1,0.196,0.844,-0.573,0.567,NA
"CHEBI:17033",0.641,0.423,1,1.04,0.3,-0.193,0.847,"bilirubin (E,E)*"
"LTA",0.64,0.424,1,0.933,0.351,-0.192,0.847,NA
"CHEBI:30769",0.634,0.426,1,1.59,0.112,-0.186,0.852,"citrate"
"C3",0.633,0.426,1,-1.16,0.244,0.186,0.853,NA
"CCL2",0.623,0.43,1,0.398,0.691,-0.177,0.86,NA
"GSTP1",0.621,0.431,1,0.175,0.861,-1.05,0.293,NA
"FOLH1",0.618,0.432,1,1.34,0.181,-0.171,0.864,NA
"ENTPD1",0.615,0.433,1,0.169,0.866,-0.925,0.355,NA
"CHEBI:16990",0.608,0.435,1,-0.447,0.655,0.163,0.871,"bilirubin (Z,Z)"
"CAMK1D",0.604,0.437,1,-0.159,0.874,0.312,0.755,NA
"GSN",0.602,0.438,1,-0.396,0.692,0.156,0.876,NA
"CHEBI:55328",0.602,0.438,1,-0.156,0.876,0.247,0.805,"16-hydroxypalmitate"
"CHEBI:17535",0.6,0.439,1,-0.154,0.877,2.12,0.0343,"arabinose"
"COL18A1",0.6,0.439,1,0.831,0.406,-0.154,0.877,NA
"CHEBI:16359",0.599,0.439,1,-0.154,0.878,0.887,0.375,"cholate"
"HSD17B1",0.597,0.44,1,0.152,0.879,-1.37,0.172,NA
"CHEBI:28043",0.596,0.44,1,0.916,0.36,-0.151,0.88,"21-hydroxypregnenolone disulfate"
"IMPDH1",0.592,0.442,1,-0.397,0.691,0.147,0.883,NA
"ESAM",0.592,0.442,1,0.147,0.883,-0.453,0.65,NA
"CHEBI:17750",0.592,0.442,1,0.147,0.883,-0.52,0.603,"betaine"
"NOG",0.589,0.443,1,0.144,0.885,-1.04,0.298,NA
"PRKCQ",0.589,0.443,1,-0.846,0.398,0.144,0.886,NA
"CCL28",0.589,0.443,1,-0.144,0.886,1.09,0.275,NA
"MAP3K7",0.588,0.443,1,0.143,0.887,-0.191,0.849,NA
"CHEBI:18102",0.588,0.443,1,0.455,0.649,-0.143,0.887,"octanoylcarnitine"
"ING1",0.587,0.444,1,-0.532,0.595,0.142,0.887,NA
"GDF2",0.581,0.446,1,-0.136,0.892,1.47,0.141,NA
"B2M",0.58,0.446,1,1.07,0.286,-0.135,0.892,NA
"CHEBI:18095",0.58,0.446,1,0.995,0.32,-0.135,0.893,"trans-4-hydroxyproline"
"IGFBP6",0.578,0.447,1,1,0.317,-0.133,0.895,NA
"CHEBI:15428",0.577,0.447,1,1.12,0.261,-0.132,0.895,"glycine"
"CCL18",0.577,0.447,1,0.883,0.377,-0.132,0.895,NA
"NCK1",0.575,0.448,1,-0.581,0.561,0.13,0.896,NA
"CHEBI:17775",0.575,0.448,1,0.158,0.874,-0.13,0.897,"urate"
"CST1",0.574,0.449,1,-1.03,0.305,0.129,0.898,NA
"PRKCA",0.573,0.449,1,-1.29,0.198,0.128,0.898,NA
"CDK2",0.57,0.45,1,-0.53,0.596,0.125,0.9,NA
"GZMB",0.57,0.45,1,-0.125,0.9,0.767,0.443,NA
"CHEBI:16946",0.567,0.451,1,-0.122,0.903,1.32,0.186,"kynurenine"
"CDH3",0.567,0.452,1,-0.121,0.903,2.1,0.0354,NA
"CHEBI:2710",0.562,0.453,1,-0.117,0.907,1.32,0.188,"4-androsten-3beta,17beta-diol disulfate (1)"
"CFI",0.561,0.454,1,-2.54,0.0112,0.116,0.907,NA
"S100A9",0.561,0.454,1,-1.02,0.31,0.116,0.908,NA
"CHEBI:72665",0.56,0.454,1,-0.115,0.908,2.28,0.0226,"12,13-DiHOME"
"ACVR1B",0.556,0.456,1,-1.22,0.224,0.111,0.912,NA
"SORCS2",0.554,0.457,1,-0.108,0.914,0.658,0.51,NA
"OSM",0.552,0.458,1,1.03,0.301,-0.107,0.915,NA
"CHEBI:72782",0.551,0.458,1,-0.939,0.348,0.106,0.916,"methyl indole-3-acetate"
"EREG",0.547,0.459,1,-0.102,0.919,1.48,0.139,NA
"CHEBI:17594",0.544,0.461,1,0.498,0.618,-0.0981,0.922,"hydroquinone sulfate"
"AIMP1",0.542,0.462,1,-0.096,0.924,2.33,0.0199,NA
"TNFAIP6",0.54,0.463,1,3.01,0.00264,-0.0939,0.925,NA
"MATN3",0.539,0.463,1,-0.475,0.635,0.0935,0.926,NA
"FABP5",0.539,0.463,1,-0.0927,0.926,2.21,0.0268,NA
"CAMK2A",0.538,0.463,1,-1.12,0.262,0.092,0.927,NA
"DSC3",0.537,0.464,1,-0.0914,0.927,1.08,0.28,NA
"CHEBI:15354",0.536,0.464,1,-4.49,7.2e-06,0.0905,0.928,"choline"
"FGF18",0.535,0.465,1,-0.089,0.929,1.15,0.252,NA
"ARPP19",0.534,0.465,1,-0.923,0.356,0.0875,0.93,NA
"CHEBI:16015",0.534,0.465,1,-0.428,0.669,0.0875,0.93,"glutamate"
"PRSS27",0.532,0.466,1,0.389,0.697,-0.0857,0.932,NA
"CHEBI:691622",0.53,0.467,1,-1.43,0.154,0.0834,0.934,"1,3,7-trimethylurate"
"CD80",0.53,0.467,1,-0.414,0.679,0.0833,0.934,NA
"CHEBI:17799",0.528,0.467,1,-0.0821,0.935,1.17,0.242,"2-methylserine"
"CD4",0.526,0.468,1,0.0792,0.937,-0.803,0.422,NA
"CHEBI:17562",0.523,0.469,1,1.52,0.13,-0.0767,0.939,"cytidine"
"EPO",0.521,0.47,1,0.0744,0.941,-1.88,0.0603,NA
"RTN4",0.519,0.471,1,2.49,0.0128,-0.0726,0.942,NA
"CHEBI:58148",0.519,0.471,1,-2.12,0.034,0.0721,0.942,"homocitrulline"
"EIF4G2",0.518,0.472,1,-0.806,0.42,0.0713,0.943,NA
"RGMA",0.518,0.472,1,-0.0709,0.943,1.82,0.0691,NA
"CHEBI:16525",0.517,0.472,1,-0.459,0.646,0.0699,0.944,"taurochenodeoxycholate"
"SPTAN1",0.515,0.473,1,-0.0674,0.946,2.34,0.0193,NA
"FCRL3",0.514,0.473,1,-1.27,0.205,0.067,0.947,NA
"BIRC5",0.511,0.475,1,0.425,0.671,-0.0638,0.949,NA
"RTN4R",0.509,0.476,1,-0.0613,0.951,1.44,0.15,NA
"XRCC6",0.509,0.476,1,-1.47,0.142,0.0608,0.951,NA
"IL20",0.506,0.477,1,-0.971,0.332,0.058,0.954,NA
"TYK2",0.505,0.477,1,-1.35,0.175,0.0568,0.955,NA
"CCL25",0.505,0.477,1,-0.0565,0.955,2.29,0.0218,NA
"CHEBI:17802",0.503,0.478,1,0.0552,0.956,-1.77,0.0774,"pseudouridine"
"IL22RA1",0.501,0.479,1,0.0529,0.958,-0.739,0.46,NA
"PTGS2",0.5,0.48,1,-0.749,0.454,0.0513,0.959,NA
"CHEBI:68441",0.498,0.481,1,-2.15,0.0316,0.0487,0.961,"1-methylurate"
"CHEBI:18329",0.495,0.482,1,-0.166,0.868,0.0462,0.963,"5alpha-androstan-3beta,17beta-diol disulfate"
"CCL15",0.494,0.482,1,-0.0452,0.964,1.2,0.232,NA
"MAP2K1",0.492,0.483,1,0.0428,0.966,-1.11,0.267,NA
"IL16",0.49,0.484,1,-0.04,0.968,0.929,0.353,NA
"CHEBI:18050",0.485,0.486,1,-1.27,0.204,0.0351,0.972,"glutamine"
"ASGR1",0.485,0.486,1,-0.0349,0.972,0.788,0.431,NA
"ANP32B",0.484,0.487,1,0.0333,0.973,-0.225,0.822,NA
"CHEBI:43580",0.483,0.487,1,0.333,0.739,-0.032,0.974,"indolepropionate"
"ADAM12",0.482,0.487,1,-0.0316,0.975,0.387,0.699,NA
"CHEBI:1606",0.482,0.488,1,0.0312,0.975,-1.46,0.145,"1-methylimidazoleacetate"
"CHEBI:74077",0.48,0.488,1,0.0294,0.977,-1.21,0.227,"S-allylcysteine"
"IL15RA",0.479,0.489,1,0.0284,0.977,-0.473,0.636,NA
"MMP14",0.477,0.49,1,-0.0261,0.979,0.845,0.398,NA
"CHEBI:9907",0.477,0.49,1,0.478,0.633,-0.0258,0.979,"ursodeoxycholate"
"NPPA",0.477,0.49,1,1.58,0.114,-0.0255,0.98,NA
"APOE",0.475,0.491,1,-0.0237,0.981,1.58,0.113,NA
"PRL",0.472,0.492,1,0.0195,0.984,-1.77,0.0764,NA
"CHEBI:37373",0.471,0.493,1,-4.2,2.61e-05,0.0182,0.985,"(S)-3-Hydroxyisobutyric acid"
"TGFBI",0.467,0.494,1,-0.0142,0.989,0.856,0.392,NA
"PDPK1",0.466,0.495,1,-0.718,0.473,0.0126,0.99,NA
"CHEBI:77086",0.464,0.496,1,0.0106,0.992,-0.72,0.471,"laurylcarnitine"
"CHEBI:17992",0.461,0.497,1,-0.509,0.61,0.00695,0.994,"sucrose"
"TBP",0.461,0.497,1,-0.00658,0.995,0.247,0.805,NA
"FGG",0.46,0.498,1,1.59,0.111,-0.00575,0.995,NA
"CHEBI:16962",0.459,0.498,1,-1.16,0.247,0.0045,0.996,"cortisone"
"CHEBI:30746",0.459,0.498,1,0.697,0.486,-0.00428,0.997,"benzoate"
"CHEBI:53487",0.458,0.498,1,-0.0039,0.997,0.158,0.874,"adrenate (22:4n6)"
"SPINT2",0.457,0.499,1,-0.171,0.865,0.00259,0.998,NA
"TPO",0.456,0.499,1,0.00141,0.999,-1.95,0.051,NA
"PRSS1",0.456,0.499,1,-0.00126,0.999,0.935,0.35,NA
"HCK",0.456,0.5,1,-0.000797,0.999,2.56,0.0105,NA
"CST4",0,1,1,0.917,0.359,3.56,0.000366,NA
"CHEBI:15444",0,1,1,0.822,0.411,3.54,4e-04,"glucose"
"L1CAM",0,1,1,0.77,0.442,3.43,0.000594,NA
"SIRT2",0,1,1,-0.488,0.625,-3.37,0.000753,NA
"COLEC11",0,1,1,1.76,0.0777,3.14,0.00168,NA
"ATP5B",0,1,1,-2.01,0.0445,-3.08,0.00207,NA
"NME1",0,1,1,-1.83,0.0671,-2.99,0.00276,NA
"GSTA3",0,1,1,1.2,0.23,2.97,0.00294,NA
"ARSA",0,1,1,1.55,0.121,2.83,0.00464,NA
"SPON1",0,1,1,1.43,0.154,2.68,0.00741,NA
"RPS7",0,1,1,-1.61,0.106,-2.63,0.0086,NA
"AMN",0,1,1,-1.35,0.176,-2.56,0.0104,NA
"IL19",0,1,1,1.22,0.224,2.49,0.0129,NA
"BCAR3",0,1,1,-0.102,0.919,-2.48,0.013,NA
"AURKA",0,1,1,0.436,0.663,2.46,0.0137,NA
"IL18RAP",0,1,1,-0.53,0.596,-2.46,0.0138,NA
"MRC2",0,1,1,0.328,0.743,2.45,0.0143,NA
"LGALS8",0,1,1,0.992,0.321,2.45,0.0144,NA
"MMP13",0,1,1,2.25,0.0243,2.44,0.0148,NA
"NLGN4X",0,1,1,0.943,0.346,2.44,0.0149,NA
"KIRREL3",0,1,1,-1.53,0.125,-2.41,0.0158,NA
"IGF1",0,1,1,-1.11,0.268,-2.41,0.016,NA
"NTRK2",0,1,1,0.253,0.801,2.39,0.0166,NA
"LPO",0,1,1,0.957,0.339,2.39,0.0169,NA
"GDF5",0,1,1,-0.867,0.386,-2.36,0.0183,NA
"PDCD1LG2",0,1,1,-0.824,0.41,-2.34,0.0191,NA
"PLAT",0,1,1,0.69,0.49,2.34,0.0191,NA
"IL12A",0,1,1,-0.418,0.676,-2.34,0.0195,NA
"BMX",0,1,1,-0.768,0.443,-2.33,0.0196,NA
"CCNB1",0,1,1,1.46,0.144,2.32,0.0204,NA
"JAG1",0,1,1,0.841,0.4,2.32,0.0204,NA
"CHL1",0,1,1,0.997,0.319,2.31,0.0211,NA
"TNNI3",0,1,1,0.509,0.611,2.3,0.0216,NA
"APOB",0,1,1,1.96,0.0498,2.28,0.0224,NA
"FGF5",0,1,1,0.799,0.424,2.27,0.0232,NA
"FGF10",0,1,1,-1.43,0.151,-2.25,0.0244,NA
"GFRA3",0,1,1,-1.03,0.305,-2.24,0.0249,NA
"CNTN2",0,1,1,0.445,0.657,2.23,0.0257,NA
"CCL21",0,1,1,0.484,0.628,2.22,0.0264,NA
"IL11RA",0,1,1,0.373,0.709,2.21,0.0269,NA
"PTPN11",0,1,1,-1.4,0.16,-2.21,0.027,NA
"GPC5",0,1,1,0.589,0.556,2.21,0.0271,NA
"STK16",0,1,1,0.808,0.419,2.21,0.0271,NA
"BMP7",0,1,1,0.909,0.363,2.2,0.0282,NA
"BMPER",0,1,1,0.845,0.398,2.19,0.0285,NA
"NOV",0,1,1,-1.08,0.28,-2.15,0.0312,NA
"RSPO2",0,1,1,-0.889,0.374,-2.15,0.0319,NA
"PSMD7",0,1,1,-1.27,0.206,-2.14,0.0323,NA
"LAMA1",0,1,1,0.608,0.543,2.14,0.0324,NA
"TGFB3",0,1,1,1.15,0.25,2.14,0.0326,NA
"RBP4",0,1,1,-1.47,0.141,-2.13,0.033,NA
"CFHR5",0,1,1,-1.72,0.085,-2.13,0.0331,NA
"CRISP3",0,1,1,-1.4,0.163,-2.13,0.0331,NA
"FGF7",0,1,1,-0.947,0.344,-2.13,0.0333,NA
"PLA2G10",0,1,1,-1.3,0.193,-2.13,0.0333,NA
"PRKCZ",0,1,1,-1.14,0.256,-2.13,0.0334,NA
"CPNE1",0,1,1,-0.863,0.388,-2.13,0.0335,NA
"SERPINC1",0,1,1,-0.847,0.397,-2.12,0.0342,NA
"GREM1",0,1,1,-1.41,0.158,-2.12,0.0344,NA
"LCK",0,1,1,-1.22,0.223,-2.11,0.0351,NA
"NRCAM",0,1,1,1.16,0.245,2.1,0.0354,NA
"FLT4",0,1,1,1.02,0.309,2.1,0.0354,NA
"ACAN",0,1,1,-0.623,0.533,-2.1,0.0355,NA
"IL17B",0,1,1,0.376,0.707,2.1,0.0361,NA
"PPA1",0,1,1,-1.24,0.216,-2.1,0.0362,NA
"KPNB1",0,1,1,-1.44,0.15,-2.09,0.0368,NA
"HNRNPK",0,1,1,1.22,0.222,2.08,0.0377,NA
"ENTPD3",0,1,1,-1.1,0.269,-2.08,0.0379,NA
"CDC2",0,1,1,-0.921,0.357,-2.06,0.0396,NA
"CHEBI:17649",0,1,1,-1.52,0.128,-2.05,0.0401,"tartronate (hydroxymalonate)"
"TNFRSF6B",0,1,1,0.91,0.363,2.05,0.0404,NA
"WNT7A",0,1,1,1.09,0.276,2.04,0.041,NA
"HSPA8",0,1,1,0.922,0.356,2.04,0.0412,NA
"CD22",0,1,1,-1.13,0.257,-2.02,0.0431,NA
"ANGPTL3",0,1,1,-0.86,0.39,-2.02,0.0431,NA
"ARID3A",0,1,1,-1.12,0.263,-2.01,0.0442,NA
"ICOS",0,1,1,-0.738,0.461,-2.01,0.0444,NA
"EPS15L1",0,1,1,-1.01,0.31,-2,0.0451,NA
"NTF4",0,1,1,0.888,0.374,2,0.0456,NA
"TNF",0,1,1,1.57,0.117,1.99,0.0462,NA
"IFNL1",0,1,1,-0.959,0.337,-1.99,0.0462,NA
"JAM3",0,1,1,-1.03,0.304,-1.99,0.0462,NA
"ADAMTS1",0,1,1,-1.04,0.298,-1.99,0.0469,NA
"CHEBI:17268",0,1,1,-1.88,0.0594,-1.98,0.0475,"myo-inositol"
"FGF6",0,1,1,-1.18,0.237,-1.98,0.0476,NA
"PDGFC",0,1,1,1.38,0.169,1.98,0.048,NA
"GPC3",0,1,1,0.317,0.751,1.98,0.0483,NA
"PLA2G5",0,1,1,-1.14,0.254,-1.97,0.0486,NA
"PRLR",0,1,1,0.932,0.351,1.97,0.0492,NA
"AMICA1",0,1,1,0.268,0.789,1.94,0.0518,NA
"NAMPT",0,1,1,-1.8,0.0723,-1.94,0.0519,NA
"CHEBI:16610",0,1,1,-1.29,0.199,-1.94,0.0521,"spermidine"
"PON1",0,1,1,-1.42,0.156,-1.94,0.0523,NA
"CA2",0,1,1,0.0681,0.946,1.94,0.0528,NA
"FGF4",0,1,1,-1.74,0.081,-1.93,0.0534,NA
"CXCL13",0,1,1,1.72,0.0853,1.92,0.0543,NA
"TGFB2",0,1,1,-1.22,0.221,-1.92,0.0547,NA
"DSG1",0,1,1,-0.931,0.352,-1.92,0.0551,NA
"TSLP",0,1,1,-0.968,0.333,-1.92,0.0552,NA
"F2",0,1,1,-1.2,0.232,-1.92,0.0553,NA
"PI3",0,1,1,1.13,0.258,1.91,0.0556,NA
"BMP6",0,1,1,1.49,0.137,1.91,0.0557,NA
"FGF8",0,1,1,-1.3,0.195,-1.91,0.056,NA
"PES1",0,1,1,-0.778,0.437,-1.91,0.0561,NA
"CHRDL1",0,1,1,1.83,0.0671,1.91,0.0564,NA
"CHEBI:17050",0,1,1,-1.31,0.19,-1.9,0.0569,"3-phosphoglycerate"
"AKR1A1",0,1,1,-1.28,0.199,-1.9,0.0572,NA
"STC1",0,1,1,1.61,0.108,1.9,0.0572,NA
"AZU1",0,1,1,-1.12,0.262,-1.89,0.0582,NA
"MBD4",0,1,1,-1.14,0.256,-1.89,0.0583,NA
"MATK",0,1,1,1.32,0.186,1.89,0.0585,NA
"PSMA6",0,1,1,-1.07,0.284,-1.88,0.0595,NA
"EIF5",0,1,1,-0.798,0.425,-1.88,0.0597,NA
"NAPA",0,1,1,-1.28,0.201,-1.88,0.0597,NA
"CRK",0,1,1,-1.39,0.164,-1.88,0.0598,NA
"PROC",0,1,1,-2.01,0.0449,-1.88,0.06,NA
"NSFL1C",0,1,1,-1.37,0.169,-1.88,0.0603,NA
"EFNB3",0,1,1,-0.951,0.342,-1.88,0.0604,NA
"SOD1",0,1,1,-1.05,0.292,-1.88,0.0605,NA
"ARG1",0,1,1,1.85,0.0639,1.87,0.061,NA
"SPINT1",0,1,1,0.57,0.569,1.87,0.0617,NA
"KYNU",0,1,1,-1.97,0.0491,-1.86,0.0622,NA
"IDE",0,1,1,-0.74,0.46,-1.86,0.0623,NA
"CFC1",0,1,1,-1.13,0.26,-1.86,0.0623,NA
"IL27RA",0,1,1,1.97,0.0489,1.86,0.0624,NA
"GAS1",0,1,1,-0.475,0.635,-1.86,0.0628,NA
"GFRA1",0,1,1,0.711,0.477,1.85,0.0639,NA
"PGAM1",0,1,1,0.842,0.4,1.85,0.064,NA
"MED1",0,1,1,-0.873,0.383,-1.84,0.0653,NA
"CHEBI:16543",0,1,1,-3.23,0.00124,-1.84,0.0654,"N-alpha-acetylornithine"
"VIP",0,1,1,-1.02,0.308,-1.84,0.0657,NA
"TGFB1",0,1,1,-0.841,0.4,-1.84,0.0659,NA
"RAN",0,1,1,-0.934,0.35,-1.84,0.066,NA
"ALCAM",0,1,1,0.885,0.376,1.84,0.0664,NA
"PFDN5",0,1,1,-0.786,0.432,-1.83,0.0667,NA
"IL4",0,1,1,-0.997,0.319,-1.83,0.067,NA
"KDR",0,1,1,0.588,0.557,1.83,0.0671,NA
"NTRK1",0,1,1,-0.497,0.619,-1.83,0.0675,NA
"CHEBI:16027",0,1,1,-1.09,0.276,-1.83,0.0675,"adenosine 5'-monophosphate (AMP)"
"CSF3",0,1,1,1.21,0.226,1.83,0.0679,NA
"IL12RB2",0,1,1,0.988,0.323,1.83,0.068,NA
"JAG2",0,1,1,0.649,0.517,1.82,0.0683,NA
"CA3",0,1,1,-1.26,0.206,-1.82,0.0684,NA
"GRN",0,1,1,1.43,0.152,1.82,0.0684,NA
"CCL27",0,1,1,-1.79,0.0734,-1.82,0.0693,NA
"CHEK2",0,1,1,0.381,0.703,1.81,0.0696,NA
"MSLN",0,1,1,-1.12,0.263,-1.81,0.0699,NA
"FCAR",0,1,1,0.12,0.904,1.81,0.0702,NA
"DHH",0,1,1,-1.08,0.282,-1.81,0.0706,NA
"FGF9",0,1,1,0.406,0.685,1.81,0.0707,NA
"CHEBI:27823",0,1,1,0.977,0.329,1.81,0.0707,"5-hydroxyindoleacetate"
"FLT3LG",0,1,1,1.4,0.163,1.8,0.0718,NA
"PGF",0,1,1,0.689,0.491,1.8,0.072,NA
"CCL19",0,1,1,0.833,0.405,1.8,0.0723,NA
"EHMT2",0,1,1,-1.37,0.17,-1.8,0.0723,NA
"CNTF",0,1,1,0.805,0.421,1.8,0.0724,NA
"IL13RA1",0,1,1,1.07,0.286,1.8,0.0725,NA
"NAGK",0,1,1,-1.28,0.201,-1.8,0.0726,NA
"ANGPT2",0,1,1,2.33,0.0197,1.79,0.0728,NA
"TNFSF13B",0,1,1,1.59,0.112,1.79,0.0737,NA
"PRDX1",0,1,1,-0.886,0.375,-1.79,0.0737,NA
"ANGPT4",0,1,1,-1.28,0.199,-1.79,0.0738,NA
"CHEBI:17627",0,1,1,-1.29,0.198,-1.79,0.0739,"heme"
"UBE2L3",0,1,1,-1.08,0.282,-1.79,0.0739,NA
"MMP7",0,1,1,2.33,0.0199,1.79,0.074,NA
"ADAM9",0,1,1,1.08,0.281,1.78,0.0746,NA
"TLR4",0,1,1,1.12,0.264,1.78,0.0748,NA
"IMPDH2",0,1,1,-0.594,0.553,-1.78,0.0751,NA
"AK1",0,1,1,-1.24,0.216,-1.78,0.0753,NA
"FASLG",0,1,1,0.865,0.387,1.78,0.0755,NA
"CTLA4",0,1,1,1.03,0.303,1.77,0.076,NA
"DLL4",0,1,1,-0.439,0.66,-1.77,0.076,NA
"TNFSF11",0,1,1,1.51,0.13,1.77,0.0761,NA
"ULBP3",0,1,1,-1.14,0.252,-1.77,0.0762,NA
"HIPK3",0,1,1,0.468,0.64,1.77,0.0763,NA
"IFNG",0,1,1,-0.914,0.361,-1.77,0.0763,NA
"AURKB",0,1,1,1.47,0.142,1.77,0.0763,NA
"FLRT1",0,1,1,-0.946,0.344,-1.77,0.0769,NA
"RPS6KA5",0,1,1,-1.05,0.295,-1.77,0.0771,NA
"TKT",0,1,1,-1.52,0.127,-1.77,0.0773,NA
"CHEBI:18261",0,1,1,-0.159,0.873,-1.77,0.0775,"3-ureidopropionate"
"EPHA3",0,1,1,1.06,0.29,1.76,0.0776,NA
"CNTN4",0,1,1,1.6,0.11,1.76,0.0779,NA
"MAPT",0,1,1,-1.23,0.218,-1.76,0.0783,NA
"RPS6KA3",0,1,1,-1.53,0.126,-1.76,0.0791,NA
"CMA1",0,1,1,-1.54,0.125,-1.76,0.0792,NA
"IFNA2",0,1,1,0.889,0.374,1.76,0.0792,NA
"IL11",0,1,1,-0.819,0.413,-1.75,0.0793,NA
"EPOR",0,1,1,-1.07,0.284,-1.75,0.0795,NA
"CCL24",0,1,1,-1.6,0.109,-1.75,0.0805,NA
"TNFSF12",0,1,1,-0.27,0.787,-1.74,0.0811,NA
"CAMKK1",0,1,1,-1.16,0.248,-1.74,0.0814,NA
"IL2RG",0,1,1,-0.977,0.329,-1.74,0.0825,NA
"BST1",0,1,1,0.472,0.637,1.74,0.0827,NA
"LMNB1",0,1,1,-0.974,0.33,-1.73,0.0831,NA
"FST",0,1,1,-1.11,0.267,-1.73,0.0831,NA
"CNDP2",0,1,1,-0.547,0.584,-1.73,0.0833,NA
"EIF5A",0,1,1,-1.23,0.22,-1.73,0.0838,NA
"ULBP2",0,1,1,0.0593,0.953,1.73,0.0843,NA
"CDH12",0,1,1,-0.999,0.318,-1.72,0.085,NA
"SGTA",0,1,1,-1.17,0.241,-1.72,0.0854,NA
"IL5",0,1,1,-0.0876,0.93,-1.72,0.0857,NA
"CA9",0,1,1,2.21,0.0271,1.71,0.0864,NA
"CHEBI:9008",0,1,1,-0.43,0.667,-1.71,0.0866,"2-hydroxyhippurate (salicylurate)"
"TK1",0,1,1,0.755,0.45,1.71,0.0867,NA
"CTGF",0,1,1,-1.08,0.278,-1.71,0.0868,NA
"KREMEN2",0,1,1,-0.823,0.411,-1.71,0.0869,NA
"KIT",0,1,1,0.804,0.421,1.7,0.0884,NA
"CD274",0,1,1,1.04,0.299,1.7,0.0889,NA
"KIR2DL4",0,1,1,-1.06,0.289,-1.7,0.0892,NA
"LRRTM3",0,1,1,0.595,0.552,1.7,0.0895,NA
"FCN3",0,1,1,0.223,0.824,1.69,0.0904,NA
"FGF1",0,1,1,0.462,0.644,1.69,0.0907,NA
"FGF16",0,1,1,-1.06,0.289,-1.69,0.0912,NA
"FGFR2",0,1,1,0.0445,0.965,1.69,0.0916,NA
"OMD",0,1,1,2.2,0.0276,1.69,0.0919,NA
"ACP1",0,1,1,-1.13,0.26,-1.68,0.0922,NA
"CHEBI:17720",0,1,1,-0.837,0.403,-1.68,0.0923,"2,3-diphosphoglycerate"
"UBE2N",0,1,1,-1.16,0.247,-1.68,0.0924,NA
"ETHE1",0,1,1,1.27,0.203,1.68,0.0925,NA
"AREG",0,1,1,-0.984,0.325,-1.68,0.0925,NA
"WISP1",0,1,1,0.598,0.55,1.67,0.094,NA
"IGF1R",0,1,1,2.07,0.0383,1.67,0.0945,NA
"MMP10",0,1,1,-0.365,0.715,-1.67,0.0945,NA
"ALPL",0,1,1,-1.12,0.262,-1.67,0.0954,NA
"LRP8",0,1,1,1.99,0.0467,1.66,0.0961,NA
"SEMA3E",0,1,1,0.936,0.349,1.65,0.0981,NA
"THBS4",0,1,1,0.0413,0.967,1.65,0.0983,NA
"INHBA",0,1,1,-0.313,0.754,-1.65,0.0986,NA
"CD40LG",0,1,1,-1.05,0.296,-1.65,0.0988,NA
"CRTAM",0,1,1,-0.636,0.525,-1.65,0.0992,NA
"PRKCI",0,1,1,-0.897,0.37,-1.65,0.0993,NA
"XPNPEP1",0,1,1,-2.17,0.03,-1.65,0.0997,NA
"CHST2",0,1,1,-0.592,0.554,-1.65,0.0998,NA
"EPHB4",0,1,1,-0.697,0.486,-1.65,0.0998,NA
"CRLF2",0,1,1,-1.03,0.304,-1.65,0.0999,NA
"PDXP",0,1,1,-1.04,0.3,-1.65,0.0999,NA
"VEGFC",0,1,1,-1.21,0.227,-1.65,0.1,NA
"CHEBI:16914",0,1,1,-0.197,0.844,-1.64,0.1,"salicylate"
"MMP16",0,1,1,-0.345,0.73,-1.64,0.1,NA
"TNFRSF11A",0,1,1,-0.626,0.531,-1.64,0.1,NA
"SFN",0,1,1,-0.803,0.422,-1.64,0.1,NA
"TGFBR2",0,1,1,0.589,0.556,1.64,0.101,NA
"YES1",0,1,1,-1.15,0.25,-1.64,0.102,NA
"APOD",0,1,1,-0.56,0.576,-1.64,0.102,NA
"CHEBI:15676",0,1,1,-1.3,0.195,-1.63,0.102,"allantoin"
"ROBO2",0,1,1,0.993,0.321,1.63,0.104,NA
"SKP1",0,1,1,-0.852,0.394,-1.62,0.105,NA
"ADAMTS15",0,1,1,-1.76,0.0782,-1.62,0.105,NA
"HBEGF",0,1,1,-0.883,0.377,-1.62,0.105,NA
"DIABLO",0,1,1,0.84,0.401,1.62,0.106,NA
"MFGE8",0,1,1,0.699,0.485,1.62,0.106,NA
"MATN2",0,1,1,2.17,0.0302,1.62,0.106,NA
"PAK7",0,1,1,-0.724,0.469,-1.61,0.107,NA
"KIF23",0,1,1,-1.11,0.266,-1.61,0.107,NA
"TNFRSF19",0,1,1,1.48,0.139,1.61,0.107,NA
